,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_NR,LOK_NAVN,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
878,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
881,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,13316,STORVIK,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.14955,22.41675,12.0
884,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
887,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10828,KLEPPENES N,5406,HAMMERFEST,SJØ,SALTVANN,"5 400,00",TN,70.53805,23.558533,12.0
890,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10825,STEINVIKNES,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.151467,22.308067,12.0
893,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
896,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10795,OLANESET,5432,LOPPA,SJØ,SALTVANN,"3 600,00",TN,70.2122,22.2785,12.0
899,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10652,VEDBOTN,5435,NORDKAPP,SJØ,SALTVANN,"3 600,00",TN,70.7514,25.636983,12.0
902,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10616,VINNALANDET,5406,HAMMERFEST,SJØ,SALTVANN,"6 180,00",TN,70.57315,23.397883,12.0
905,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10275,AUSKARNES Ø,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.14145,22.3542,12.0
908,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45025,Vegglandet,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.542083,23.241883,12.0
911,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45005,Grøtnes N,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.580533,23.6761,12.0
914,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,40017,STANGNES,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.511917,23.751883,12.0
917,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38877,JERNØYA,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,70.80725,25.81915,12.0
920,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
923,F H 0017,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,05.08.1991,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
926,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10275,AUSKARNES Ø,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.14145,22.3542,12.0
929,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45025,Vegglandet,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.542083,23.241883,12.0
932,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,40017,STANGNES,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.511917,23.751883,12.0
935,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38877,JERNØYA,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,70.80725,25.81915,12.0
938,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
941,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
944,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,31137,DANIELSNES,5432,LOPPA,SJØ,SALTVANN,"3 600,00",TN,70.191683,22.321017,12.0
947,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,27015,KJØSEN,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.140517,22.24615,12.0
950,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,20396,BERGSNES V,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.229717,23.336117,12.0
953,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15517,TINNLANDET,5406,HAMMERFEST,SJØ,SALTVANN,"5 280,00",TN,70.52875,23.229167,12.0
956,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15462,SARNES,5435,NORDKAPP,SJØ,SALTVANN,"4 000,00",TN,70.98,25.747833,12.0
959,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15461,STORVIKA,5435,NORDKAPP,SJØ,SALTVANN,"1 800,00",TN,70.871233,25.446317,12.0
962,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
965,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,13316,STORVIK,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.14955,22.41675,12.0
968,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
971,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10828,KLEPPENES N,5406,HAMMERFEST,SJØ,SALTVANN,"5 400,00",TN,70.53805,23.558533,12.0
974,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10825,STEINVIKNES,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.151467,22.308067,12.0
977,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
980,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10795,OLANESET,5432,LOPPA,SJØ,SALTVANN,"3 600,00",TN,70.2122,22.2785,12.0
983,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10652,VEDBOTN,5435,NORDKAPP,SJØ,SALTVANN,"3 600,00",TN,70.7514,25.636983,12.0
986,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10616,VINNALANDET,5406,HAMMERFEST,SJØ,SALTVANN,"6 180,00",TN,70.57315,23.397883,12.0
989,F H 0018,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,30.03.1992,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45005,Grøtnes N,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.580533,23.6761,12.0
992,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10795,OLANESET,5432,LOPPA,SJØ,SALTVANN,"3 600,00",TN,70.2122,22.2785,12.0
995,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
998,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10825,STEINVIKNES,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.151467,22.308067,12.0
1001,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10828,KLEPPENES N,5406,HAMMERFEST,SJØ,SALTVANN,"5 400,00",TN,70.53805,23.558533,12.0
1004,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
1007,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,13316,STORVIK,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.14955,22.41675,12.0
1010,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
1013,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15461,STORVIKA,5435,NORDKAPP,SJØ,SALTVANN,"1 800,00",TN,70.871233,25.446317,12.0
1016,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15462,SARNES,5435,NORDKAPP,SJØ,SALTVANN,"4 000,00",TN,70.98,25.747833,12.0
1019,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,15517,TINNLANDET,5406,HAMMERFEST,SJØ,SALTVANN,"5 280,00",TN,70.52875,23.229167,12.0
1022,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,20396,BERGSNES V,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.229717,23.336117,12.0
1025,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,27015,KJØSEN,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.140517,22.24615,12.0
1028,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,31137,DANIELSNES,5432,LOPPA,SJØ,SALTVANN,"3 600,00",TN,70.191683,22.321017,12.0
1031,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
1034,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
1037,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38877,JERNØYA,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,70.80725,25.81915,12.0
1040,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,40017,STANGNES,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.511917,23.751883,12.0
1043,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45005,Grøtnes N,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.580533,23.6761,12.0
1046,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45025,Vegglandet,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.542083,23.241883,12.0
1049,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10275,AUSKARNES Ø,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.14145,22.3542,12.0
1052,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10616,VINNALANDET,5406,HAMMERFEST,SJØ,SALTVANN,"6 180,00",TN,70.57315,23.397883,12.0
1055,F H 0019,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,10652,VEDBOTN,5435,NORDKAPP,SJØ,SALTVANN,"3 600,00",TN,70.7514,25.636983,12.0
1058,F H 0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10838,SLETTNESFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.625517,23.107933,12.0
1061,F H 0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,13996,HAMNEFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"8 420,00",TN,70.566233,23.024617,12.0
1064,F H 0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,21016,HUSFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.549517,22.955883,12.0
1067,F H 0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,45017,Bakfjorden,5434,MÅSØY,SJØ,SALTVANN,"8 505,00",TN,70.874833,24.616967,12.0
1070,F H 0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10611,MARØYA,5432,LOPPA,SJØ,SALTVANN,"7 560,00",TN,70.249917,21.706083,12.0
1073,F H 0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10837,KRAKEN,5406,HAMMERFEST,SJØ,SALTVANN,"5 999,00",TN,70.66655,23.184933,12.0
1076,F H 0021,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10611,MARØYA,5432,LOPPA,SJØ,SALTVANN,"7 560,00",TN,70.249917,21.706083,12.0
1079,F H 0021,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10837,KRAKEN,5406,HAMMERFEST,SJØ,SALTVANN,"5 999,00",TN,70.66655,23.184933,12.0
1082,F H 0021,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,13996,HAMNEFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"8 420,00",TN,70.566233,23.024617,12.0
1085,F H 0021,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,21016,HUSFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.549517,22.955883,12.0
1088,F H 0021,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,45017,Bakfjorden,5434,MÅSØY,SJØ,SALTVANN,"8 505,00",TN,70.874833,24.616967,12.0
1091,F H 0021,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,45070,KRISTIANNESET,5434,MÅSØY,SJØ,SALTVANN,"5 670,00",TN,70.8911,25.01295,12.0
1094,F H 0022,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10611,MARØYA,5432,LOPPA,SJØ,SALTVANN,"7 560,00",TN,70.249917,21.706083,12.0
1097,F H 0022,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10837,KRAKEN,5406,HAMMERFEST,SJØ,SALTVANN,"5 999,00",TN,70.66655,23.184933,12.0
1100,F H 0022,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10838,SLETTNESFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.625517,23.107933,12.0
1103,F H 0022,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,13996,HAMNEFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"8 420,00",TN,70.566233,23.024617,12.0
1106,F H 0022,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,21016,HUSFJORD,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.549517,22.955883,12.0
1109,F H 0022,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,06.06.2000,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"984,00",TN,45017,Bakfjorden,5434,MÅSØY,SJØ,SALTVANN,"8 505,00",TN,70.874833,24.616967,12.0
1112,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45025,Vegglandet,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.542083,23.241883,12.0
1115,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,45005,Grøtnes N,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.580533,23.6761,12.0
1118,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,40017,STANGNES,5406,HAMMERFEST,SJØ,SALTVANN,"5 784,00",TN,70.511917,23.751883,12.0
1121,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38877,JERNØYA,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,70.80725,25.81915,12.0
1124,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
1127,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
1130,F H 0023,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5406,HAMMERFEST,KOMMERSIELL,MATFISK,Laks,"974,00",TN,31137,DANIELSNES,5432,LOPPA,SJØ,SALTVANN,"3 600,00",TN,70.191683,22.321017,12.0
