,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_NR,LOK_NAVN,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
261,F A 0004,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,04.12.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,33998,KLUBBEN,5433,HASVIK,SJØ,SALTVANN,"3 600,00",TN,70.663967,22.6224,12.0
264,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
267,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
270,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,27015,KJØSEN,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.140517,22.24615,12.0
273,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15462,SARNES,5435,NORDKAPP,SJØ,SALTVANN,"4 000,00",TN,70.98,25.747833,12.0
276,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
279,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
282,F A 0005,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,16.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
285,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
288,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
291,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,27015,KJØSEN,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.140517,22.24615,12.0
294,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15462,SARNES,5435,NORDKAPP,SJØ,SALTVANN,"4 000,00",TN,70.98,25.747833,12.0
297,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
300,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
303,F A 0009,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
306,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,10794,MORTENSNES,5403,ALTA,SJØ,SALTVANN,"5 400,00",TN,70.124217,23.223833,12.0
309,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,10811,ELVA I ÅRØYSUNDET,5403,ALTA,SJØ,SALTVANN,"1 800,00",TN,70.1337,23.330383,12.0
312,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,10839,STORE KUFJORD,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.353317,23.079117,12.0
315,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,31797,FARTØYVIKA,5434,MÅSØY,SJØ,SALTVANN,"7 200,00",TN,70.828517,24.450483,12.0
318,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,32598,KOKELV,5406,HAMMERFEST,SJØ,SALTVANN,"3 600,00",TN,70.6381,24.5791,12.0
321,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,33517,PETTERNES,5434,MÅSØY,SJØ,SALTVANN,"3 600,00",TN,70.8172,24.590567,12.0
324,F A 0010,990970602.0,NRS FARMING AS,MARKVEIEN 38B,9510,ALTA,12.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"984,00",TN,35957,DANIELSVIKA,5406,HAMMERFEST,SJØ,SALTVANN,"7 200,00",TN,70.670583,24.488767,12.0
327,F A 0011,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 021,00",TN,34577,ENKENESET,5406,HAMMERFEST,SJØ,SALTVANN,"3 120,00",TN,70.56365,24.119067,12.0
330,F A 0011,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 021,00",TN,45017,Bakfjorden,5434,MÅSØY,SJØ,SALTVANN,"8 505,00",TN,70.874833,24.616967,12.0
333,F A 0011,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 021,00",TN,31917,KIRKENESET,5406,HAMMERFEST,SJØ,SALTVANN,"2 700,00",TN,70.713367,23.827433,12.0
336,F A 0011,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 021,00",TN,24535,STORHOLMEN,5403,ALTA,SJØ,SALTVANN,"5 400,00",TN,70.3414,23.39285,12.0
339,F A 0011,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 021,00",TN,10276,SOMMARBUKT,5403,ALTA,SJØ,SALTVANN,"2 580,00",TN,70.077333,22.66705,12.0
342,F A 0011,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.01.1987,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 021,00",TN,10822,RIVARBUKT,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.085867,22.6618,12.0
345,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
348,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
351,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
354,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15462,SARNES,5435,NORDKAPP,SJØ,SALTVANN,"4 000,00",TN,70.98,25.747833,12.0
