LOK_NAVN,LOK_NR,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
ALDALEN,12067,H R 0003,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,13.08.1973,,4631,ALVER,KOMMERSIELL,MATFISK,Laks,796.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDEØYNA,12982,SFA 0006,821614422.0,LANDØY FISKEOPPDRETT AS,KALVØYVEGEN 32,6986,VÆRLANDET,24.07.1981,,4645,ASKVOLL,KOMMERSIELL,MATFISK,Laks,733.00,TN,4645,ASKVOLL,SJØ,SALTVANN,2340.00,TN,61.31055,4.767783,4.0
ALDEØYNA,12982,SFA 0026,821614422.0,LANDØY FISKEOPPDRETT AS,KALVØYVEGEN 32,6986,VÆRLANDET,23.05.2003,,4645,ASKVOLL,KOMMERSIELL,MATFISK,Laks,733.00,TN,4645,ASKVOLL,SJØ,SALTVANN,2340.00,TN,61.31055,4.767783,4.0
ALDEØYNA,12982,SFA 0032,821614422.0,LANDØY FISKEOPPDRETT AS,KALVØYVEGEN 32,6986,VÆRLANDET,24.06.2009,,4645,ASKVOLL,KOMMERSIELL,MATFISK,Laks,733.00,TN,4645,ASKVOLL,SJØ,SALTVANN,2340.00,TN,61.31055,4.767783,4.0
ALLERSHOLMEN,11756,H L 0019,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,12.06.2003,,4631,ALVER,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H ML0001,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,13.08.1973,,4631,ALVER,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H R 0004,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,17.08.1973,,4631,ALVER,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H R 0008,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,04.08.1977,,4631,ALVER,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H R 0011,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,13.08.1973,,4631,ALVER,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H ØN0001,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,04.08.1973,,4626,ØYGARDEN,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H ØN0004,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,23.09.1976,,4626,ØYGARDEN,KOMMERSIELL,MATFISK,Laks,733.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,4.0
ALLERSHOLMEN,11756,H ØN0049,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,16.08.2019,16.08.2022,4626,ØYGARDEN,FORSKNING,MATFISK,Laks,780.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,
ALLERSHOLMEN,11756,H ØN0050,840215512.0,BLOM FISKEOPPDRETT AS,ULVØYVEGEN 130,5337,RONG,16.08.2019,16.08.2022,4626,ØYGARDEN,FORSKNING,MATFISK,Laks,780.00,TN,4632,AUSTRHEIM,SJØ,SALTVANN,1560.00,TN,60.774867,4.853533,
ALMURDEN,13271,NTF 0001,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,12.04.1973,,5049,FLATANGER,KOMMERSIELL,MATFISK,Laks,804.00,TN,5049,FLATANGER,SJØ,SALTVANN,3900.00,TN,64.433533,10.678883,7.0
ALMURDEN,13271,NTF 0005,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,03.03.1998,,5049,FLATANGER,KOMMERSIELL,MATFISK,Laks,804.00,TN,5049,FLATANGER,SJØ,SALTVANN,3900.00,TN,64.433533,10.678883,7.0
ALMURDEN,13271,NTF 0007,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,21.10.1982,,5049,FLATANGER,KOMMERSIELL,MATFISK,Laks,804.00,TN,5049,FLATANGER,SJØ,SALTVANN,3900.00,TN,64.433533,10.678883,7.0
ALMURDEN,13271,NTF 0008,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,22.11.1977,,5049,FLATANGER,KOMMERSIELL,MATFISK,Laks,804.00,TN,5049,FLATANGER,SJØ,SALTVANN,3900.00,TN,64.433533,10.678883,7.0
ALMURDEN,13271,NTF 0012,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,04.07.1986,,5049,FLATANGER,KOMMERSIELL,MATFISK,Laks,804.00,TN,5049,FLATANGER,SJØ,SALTVANN,3900.00,TN,64.433533,10.678883,7.0
ALMURDEN,13271,NTF 0013,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,04.07.1986,,5049,FLATANGER,KOMMERSIELL,MATFISK,Laks,804.00,TN,5049,FLATANGER,SJØ,SALTVANN,3900.00,TN,64.433533,10.678883,7.0
ALSVÅG,11416,N Ø 0023,948927241.0,ALSVÅG LAKSESLAKTERI AS,ANNA ERIKSENS VEI 8,8432,ALSVÅG,29.05.2000,,1868,ØKSNES,SLAKTEMERD,MATFISK,Laks,439.00,TN,1868,ØKSNES,SJØ,SALTVANN,439.00,TN,68.9027,15.28675,
ALSÅKERVIK,12086,H K 0021,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,14.03.1989,17.11.2025,4617,KVINNHERAD,KOMMERSIELL,STAMFISK,Laks,780.00,TN,4617,KVINNHERAD,SJØ,SALTVANN,780.00,TN,59.759517,6.072883,
ALSÅKERVIK,12086,H K 0022,964118191.0,MOWI ASA,POSTBOKS 4102 SANDVIKEN,5835,BERGEN,13.03.1989,17.11.2025,4617,KVINNHERAD,KOMMERSIELL,STAMFISK,Laks,780.00,TN,4617,KVINNHERAD,SJØ,SALTVANN,780.00,TN,59.759517,6.072883,
ALTANESET,13227,H FS0001,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,12.08.1973,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,2340.00,TN,60.24815,5.6368,3.0
ALTANESET,13227,H FS0004,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,11.04.1983,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,2340.00,TN,60.24815,5.6368,3.0
ALTANESET,13227,H O 0012,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,20.02.2004,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,2340.00,TN,60.24815,5.6368,3.0
ALTANESET,13227,H O 0013,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,20.02.2004,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,2340.00,TN,60.24815,5.6368,3.0
ALTEROSEN,11179,N V 0023,997021274.0,AQUAVISNING AS,POSTBOKS 224,8455,STOKMARKNES,07.12.1987,,1865,VÅGAN,VISNING,MATFISK,Laks,500.00,TN,1865,VÅGAN,SJØ,SALTVANN,78.00,TN,68.207367,14.446867,
ALTEROSEN LAND,11176,N V 0023,997021274.0,AQUAVISNING AS,POSTBOKS 224,8455,STOKMARKNES,07.12.1987,,1865,VÅGAN,VISNING,MATFISK,Laks,500.00,TN,1865,VÅGAN,LAND,SALTVANN,78.00,TN,68.207533,14.448533,
ANDAL,11513,H B 0003,924385715.0,TOMBRE FJORDFARM AS,DRAGEID 38,5640,EIKELANDSOSEN,01.01.1973,,4613,BØMLO,KOMMERSIELL,MATFISK,Laks,792.00,TN,4613,BØMLO,SJØ,SALTVANN,3120.00,TN,59.636483,5.247117,3.0
ANDAL,11513,H B 0008,960900626.0,LINGALAKS AS,GROVABROTET 8,5600,NORHEIMSUND,19.09.1979,,4613,BØMLO,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,3120.00,TN,59.636483,5.247117,3.0
ANDAL,11513,R K 0004,924385715.0,TOMBRE FJORDFARM AS,DRAGEID 38,5640,EIKELANDSOSEN,11.08.1973,,1149,KARMØY,KOMMERSIELL,MATFISK,Laks,791.00,TN,4613,BØMLO,SJØ,SALTVANN,3120.00,TN,59.636483,5.247117,3.0
ANDAL,11513,R K 0005,923187030.0,VARDE FISKEOPPDRETT AS,GROVABROTET 8,5600,NORHEIMSUND,02.12.1987,,1149,KARMØY,KOMMERSIELL,MATFISK,Laks,810.00,TN,4613,BØMLO,SJØ,SALTVANN,3120.00,TN,59.636483,5.247117,3.0
ANDAL,11513,R K 0007,960900626.0,LINGALAKS AS,GROVABROTET 8,5600,NORHEIMSUND,30.06.1986,,1149,KARMØY,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,3120.00,TN,59.636483,5.247117,3.0
ANDALSVÅGEN I,38037,N BR0045,996482537.0,AKVAFUTURE AS,SALHUSSLETTA 2,8907,BRØNNØYSUND,15.12.2015,16.01.2024,1813,BRØNNØY,FORSKNING,MATFISK,Laks,780.00,TN,1816,VEVELSTAD,SJØ,SALTVANN,780.00,TN,65.5826,12.4032,
ANDALSVÅGEN I,38037,N BR0046,996482537.0,AKVAFUTURE AS,SALHUSSLETTA 2,8907,BRØNNØYSUND,15.12.2015,16.01.2024,1813,BRØNNØY,FORSKNING,MATFISK,Laks,780.00,TN,1816,VEVELSTAD,SJØ,SALTVANN,780.00,TN,65.5826,12.4032,
ANDALSVÅGEN I,38037,N BR0047,996482537.0,AKVAFUTURE AS,SALHUSSLETTA 2,8907,BRØNNØYSUND,15.12.2015,16.01.2024,1813,BRØNNØY,FORSKNING,MATFISK,Laks,780.00,TN,1816,VEVELSTAD,SJØ,SALTVANN,780.00,TN,65.5826,12.4032,
ANDALSVÅGEN I,38037,N VS0013,996482537.0,AKVAFUTURE AS,SALHUSSLETTA 2,8907,BRØNNØYSUND,09.04.2021,,1816,VEVELSTAD,KOMMERSIELL,MATFISK,Laks,788.00,TN,1816,VEVELSTAD,SJØ,SALTVANN,780.00,TN,65.5826,12.4032,8.0
ANDALSVÅGEN I,38037,N VS0014,996482537.0,AKVAFUTURE AS,SALHUSSLETTA 2,8907,BRØNNØYSUND,09.04.2021,,1816,VEVELSTAD,KOMMERSIELL,MATFISK,Laks,788.00,TN,1816,VEVELSTAD,SJØ,SALTVANN,780.00,TN,65.5826,12.4032,8.0
ANDHOLMEN 1,32277,M AV0001,966840528.0,SALMAR FARMING AS,INDUSTRIVEIEN 51,7266,KVERVA,18.07.1973,,1554,AVERØY,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,796.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
ANDHOLMEN 1,32277,M HS0005,966840528.0,SALMAR FARMING AS,INDUSTRIVEIEN 51,7266,KVERVA,08.02.1978,,5055,HEIM,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,796.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
ANDHOLMEN 1,32277,M SM0034,966840528.0,SALMAR FARMING AS,INDUSTRIVEIEN 51,7266,KVERVA,22.07.2014,,1573,SMØLA,KOMMERSIELL,MATFISK-GRØNN B,Laks,796.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
ANDHOLMEN 1,32277,M SM0035,966840528.0,SALMAR FARMING AS,INDUSTRIVEIEN 51,7266,KVERVA,22.07.2014,,1573,SMØLA,KOMMERSIELL,MATFISK-GRØNN B,Laks,796.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
ANDHOLMEN 1,32277,M SM0036,966840528.0,SALMAR FARMING AS,INDUSTRIVEIEN 51,7266,KVERVA,22.07.2014,,1573,SMØLA,KOMMERSIELL,MATFISK-GRØNN B,Laks,796.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
ANDHOLMEN 1,32277,M ST0008,998830168.0,NORSK SJØMAT OPPDRETT AS,SVEMORKA,6200,STRANDA,22.09.2009,,1525,STRANDA,KOMMERSIELL,MATFISK,Laks,780.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
ANDHOLMEN 1,32277,M SØ0003,966840528.0,SALMAR FARMING AS,INDUSTRIVEIEN 51,7266,KVERVA,17.06.1984,,1507,ÅLESUND,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,796.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,6.0
